1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-1.003882	0.000000	296.282620	0.009252	201
1	-1.019862	0.000000	296.282620	0.009299	10
2	-1.040200	0.000000	296.282620	0.006606	10
3	-1.013254	0.000000	296.282620	0.006762	10
4	-1.031246	0.000000	296.282620	0.006188	10
5	-1.037265	0.134770	294.393311	0.006504	10
6	-1.042257	0.000000	296.282620	0.007386	11
7	-1.053352	1.000000	282.815228	0.004192	10
8	-1.023246	0.767459	285.836539	0.005426	10
9	-1.017935	0.535492	288.915392	0.007846	10
10	-1.036645	1.535238	276.098040	0.004274	10
11	-1.044847	1.306030	278.935111	0.003876	10
12	-1.024334	1.073495	281.873577	0.003707	10
13	-1.048699	0.886675	284.279597	0.004629	10
14	-1.052183	0.716358	286.509141	0.005759	10
15	-1.002596	1.716358	273.896681	0.006459	10
16	-1.044240	2.641618	263.177206	0.006636	10
17	-1.033560	2.409076	265.791573	0.006105	11
18	-1.032108	2.225161	267.896318	0.005416	10
19	-1.046663	3.225160	256.837722	0.008780	11
20	-1.052606	4.225160	246.655915	0.005089	10
21	-1.054331	5.225160	237.250599	0.006142	10
22	-1.070670	4.992618	239.373158	0.007161	10
23	-1.020607	5.992618	230.505061	0.007427	10
24	-1.043467	6.992618	222.270566	0.006756	10
25	-1.060731	7.992618	214.604113	0.004879	10
26	-1.043992	8.992618	207.448881	0.005565	10
27	-1.067786	8.829408	208.583928	0.006121	10
28	-1.058187	9.829408	201.818182	0.007787	10
29	-1.035802	10.829407	195.477569	0.003483	10
30	-1.068128	11.386611	192.114419	0.008366	10
31	-1.080159	11.187800	193.301036	0.007780	10
32	-1.017466	12.187800	187.476575	0.005982	10
33	-1.061577	13.187800	181.992848	0.004591	10
34	-1.054483	12.955326	183.238853	0.006435	10
35	-1.038290	13.955326	177.996766	0.006689	10
36	-1.050503	14.955326	173.046268	0.006047	10
37	-1.039458	15.955326	168.363688	0.004030	10
38	-1.048388	15.883241	168.692743	0.007928	10
39	-1.026117	16.883241	164.239778	0.008215	10
40	-1.039192	17.883241	160.015856	0.005228	10
41	-1.055939	18.883121	156.004216	0.011528	10
42	-1.075541	19.876489	152.213051	0.006209	10
43	-1.049669	20.876489	148.578241	0.003992	10
44	-1.071760	20.643946	149.407912	0.007862	10
45	-1.040349	21.643926	145.904368	0.004956	10
46	-1.083453	22.643926	142.561305	0.006884	10
47	-1.042392	23.643919	139.368029	0.004956	10
48	-1.062962	24.643916	136.314662	0.008240	10
49	-1.069483	25.643916	133.392209	0.007018	10
50	-1.042926	26.643916	130.592435	0.007871	10
51	-1.045724	27.643916	127.907774	0.006262	10
52	-1.048117	28.643916	125.331269	0.005295	10
53	-1.039587	29.643912	122.856523	0.005562	10
54	-1.078318	29.411370	123.423248	0.006756	10
55	-1.034129	30.411370	121.022549	0.008487	10
56	-1.060751	31.411370	118.713459	0.004864	10
57	-1.032479	32.411370	116.490834	0.005745	10
58	-1.026662	32.178827	117.000230	0.004457	10
59	-1.041510	31.946285	117.514100	0.008168	10
60	-1.041531	32.946285	115.335746	0.005623	10
61	-1.048782	33.312878	114.557270	0.007703	10
62	-1.045204	34.312878	112.486193	0.008118	10
63	-1.036455	35.312878	110.488671	0.002987	10
64	-1.043939	36.022648	109.113400	0.006631	10
65	-1.049858	37.001004	107.272884	0.003339	10
66	-1.071938	36.768462	107.704703	0.008191	10
67	-1.061673	36.536047	108.139772	0.007761	10
68	-1.072737	37.536047	106.292367	0.007053	10
69	-1.074210	38.536047	104.507022	0.005595	10
70	-1.052869	38.303505	104.916818	0.002765	10
71	-1.049860	38.071723	105.328483	0.006518	10
72	-1.031387	39.068265	103.581068	0.004508	10
73	-1.041561	38.835726	103.983614	0.004582	10
74	-1.049185	39.829771	102.284374	0.005466	10
75	-1.066302	39.597258	102.676841	0.004673	10
76	-1.051311	40.597258	101.009935	0.004701	10
77	-1.049875	40.414644	101.310285	0.004332	10
78	-1.077489	41.414640	99.687109	0.005353	10
79	-1.057500	42.358272	98.202410	0.006953	10
80	-1.082443	43.358272	96.676539	0.004765	10
81	-1.050905	43.125731	97.027121	0.005748	10
82	-1.071841	42.893190	97.380254	0.005857	10
83	-1.074306	43.893190	95.879630	0.008344	10
84	-1.067987	44.893190	94.424553	0.009814	10
85	-1.071823	45.893190	93.012981	0.006629	10
86	-1.057448	46.893190	91.642992	0.006075	10
87	-1.066924	47.893190	90.312773	0.007163	10
88	-1.052119	48.893190	89.020619	0.005007	10
89	-1.049669	48.660647	89.317789	0.006682	10
90	-1.035784	49.660647	88.053751	0.005071	10
91	-1.063991	49.428105	88.344490	0.005085	10
92	-1.044885	50.427899	87.107911	0.005628	10
93	-1.058853	51.427899	85.905226	0.007371	10
94	-1.047138	51.195356	86.181929	0.006688	10
95	-1.024952	50.962813	86.460419	0.007397	10
96	-1.062120	51.962813	85.275426	0.006635	10
97	-1.053163	52.962813	84.122476	0.005393	10
98	-1.028434	53.872448	83.100462	0.006272	10
99	-1.048444	53.831432	83.146011	0.006676	10
100	-1.052160	53.599061	83.405005	0.005750	10
101	-1.064004	53.366518	83.665811	0.006284	10
102	-1.064747	54.366518	82.555691	0.003489	10
103	-1.055996	55.358606	81.483088	0.005113	10
104	-1.059734	56.358603	80.429775	0.005102	10
105	-1.073400	57.317455	79.445062	0.008243	10
106	-1.055426	58.317455	78.443453	0.006612	10
107	-1.048154	59.317455	77.466785	0.004131	10
108	-1.063706	59.353493	77.432042	0.006989	10
109	-1.058730	60.342124	76.490934	0.004431	10
110	-1.076205	61.342123	75.561994	0.003122	10
111	-1.047078	61.109586	75.775989	0.003927	10
112	-1.085705	60.877271	75.990992	0.007744	10
113	-1.066069	61.877271	75.074082	0.005891	10
114	-1.062208	61.644728	75.285323	0.008870	10
115	-1.067415	62.644728	74.385262	0.003353	10
116	-1.023346	62.412185	74.592639	0.003620	10
117	-1.055608	62.201153	74.781836	0.005734	10
118	-1.057590	62.999088	74.071459	0.006233	10
119	-1.034716	63.999088	73.200021	0.005201	10
120	-1.058641	64.999088	72.348849	0.004228	10
121	-1.057706	65.999088	71.517244	0.005834	10
122	-1.046368	66.999087	70.704540	0.007188	10
123	-1.067579	67.999087	69.910099	0.005088	10
124	-1.071257	67.766545	70.093243	0.004823	10
125	-1.072171	67.778357	70.083917	0.004944	10
126	-1.064969	68.778356	69.303285	0.008452	10
127	-1.043143	69.778356	68.539851	0.006701	10
128	-1.043511	70.778356	67.793054	0.003432	10
129	-1.037757	71.778355	67.062356	0.005362	10
130	-1.045253	71.828014	67.026480	0.002222	10
131	-1.071751	71.595472	67.194809	0.006761	10
132	-1.051543	72.146695	66.797163	0.006465	10
133	-1.036565	73.146695	66.087663	0.006624	10
134	-1.037891	72.914153	66.251303	0.005585	10
135	-1.063465	73.914153	65.553291	0.004348	10
136	-1.073120	74.866089	64.902356	0.006327	10
137	-1.068622	75.865765	64.232549	0.005406	10
138	-1.034116	75.633424	64.386987	0.005691	10
139	-1.024466	76.149303	64.045081	0.005689	10
140	-1.073620	75.981352	64.155994	0.006019	10
141	-1.062063	75.748809	64.310197	0.004255	10
142	-1.072322	75.516961	64.464680	0.004951	10
143	-1.020776	76.516957	63.803621	0.005298	10
144	-1.051176	77.516957	63.155980	0.004616	10
145	-1.016329	78.516905	62.521388	0.006174	10
146	-1.049559	78.284423	62.667787	0.006060	10
147	-1.052046	79.284420	62.042888	0.004549	10
148	-1.066256	80.284420	61.430327	0.006265	10
149	-1.047206	80.051877	61.571692	0.002736	10
150	-1.059056	81.051843	60.968375	0.003463	10
151	-1.073358	81.716149	60.574068	0.005243	10
152	-1.028183	82.553843	60.084057	0.004682	10
153	-1.079335	82.321448	60.219201	0.004709	10
154	-1.080598	82.089178	60.354880	0.007227	10
155	-1.046452	83.089178	59.775042	0.004839	10
156	-1.067357	84.089022	59.206327	0.004077	10
157	-1.046992	85.089010	58.648252	0.005784	10
158	-1.077043	84.856468	58.777089	0.003724	10
159	-1.035048	85.856467	58.227033	0.004984	10
160	-1.074420	85.625579	58.353118	0.004957	10
161	-1.048396	86.616390	57.815868	0.003289	10
162	-1.056042	86.383889	57.941047	0.005483	10
163	-1.056729	86.151348	58.066792	0.004452	10
164	-1.006241	87.120805	57.546141	0.005502	10
165	-1.070073	88.119387	57.019520	0.004872	10
166	-1.068637	89.119383	56.501724	0.006121	10
167	-1.052026	90.119381	55.993247	0.004211	10
168	-1.062616	91.119320	55.493870	0.004569	10
169	-1.040987	90.888299	55.608451	0.004210	10
170	-1.069740	91.888299	55.115854	0.005468	10
171	-1.073085	91.655757	55.229624	0.006776	10
172	-1.058212	91.423214	55.343864	0.003273	10
173	-1.066846	91.190685	55.458570	0.005569	10
174	-1.071685	92.155475	54.985718	0.005278	10
175	-1.050331	91.954425	55.083588	0.005259	10
176	-1.054914	91.721883	55.197224	0.004671	10
177	-1.062231	92.721775	54.711905	0.004459	10
178	-1.055062	92.489233	54.824012	0.006346	10
179	-1.068330	93.264318	54.452126	0.006050	10
180	-1.043097	94.264318	53.979715	0.003449	10
181	-1.036328	95.049007	53.614720	0.005446	10
