1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.920152	0.000000	224.422907	0.010196	216
1	-0.945961	0.000000	224.422907	0.010480	10
2	-0.915214	0.000000	224.422907	0.007837	10
3	-0.924254	0.000000	224.422907	0.008939	10
4	-0.905330	0.999988	214.221987	0.008092	10
5	-0.898723	0.232813	221.962165	0.010811	10
6	-0.900218	1.232518	211.981431	0.010100	10
7	-0.945640	0.465718	219.553855	0.009067	10
8	-0.926694	1.465718	209.781016	0.010788	10
9	-0.911081	0.698391	217.199561	0.008154	10
10	-0.936670	1.698386	207.630669	0.008097	10
11	-0.928357	2.695258	198.895533	0.008728	10
12	-0.967947	3.695243	190.841657	0.009838	10
13	-0.943876	4.671093	183.587080	0.010822	10
14	-0.972109	5.671093	176.703707	0.010615	10
15	-0.937348	6.671093	170.317848	0.007609	10
16	-0.906957	6.209080	173.209862	0.010769	10
17	-0.956130	7.209078	167.069659	0.010796	10
18	-0.955020	8.209078	161.349873	0.008290	10
19	-0.979577	7.441752	165.702911	0.009230	10
20	-0.944736	6.677051	170.281184	0.006535	10
21	-0.954094	6.954449	168.591451	0.010304	10
22	-0.932109	7.954391	162.769130	0.006867	10
23	-0.918612	8.922580	157.502494	0.008878	10
24	-0.948346	9.871315	152.662139	0.012102	10
25	-0.933636	10.063812	151.716119	0.009388	10
26	-0.947328	11.063745	146.984733	0.008568	10
27	-0.929982	10.297456	150.583517	0.007931	10
28	-0.945205	11.166755	146.514036	0.009336	10
29	-0.924774	12.166754	142.096541	0.012176	10
30	-0.951885	11.415611	145.389240	0.010249	10
31	-0.924807	11.215422	146.292698	0.010431	10
32	-0.960984	12.215422	141.888338	0.006568	10
33	-0.956912	11.450090	145.234761	0.008354	10
34	-0.913735	11.957320	142.999522	0.006855	10
35	-0.988742	11.202437	146.351687	0.011252	10
36	-0.938408	12.202433	141.943848	0.008508	10
37	-0.956069	13.202433	137.793738	0.010555	10
38	-0.955320	14.202426	133.879438	0.010741	10
39	-0.941279	15.198415	130.195786	0.008902	10
40	-0.965306	16.198414	126.695751	0.012575	10
41	-0.973674	17.198414	123.378970	0.011067	10
42	-0.972788	17.717599	121.724519	0.007578	10
43	-0.947134	18.717569	118.659857	0.009310	10
44	-0.940243	19.682488	115.845448	0.007462	10
45	-0.948711	18.915368	118.071842	0.013209	10
46	-0.966400	19.915368	115.186084	0.007813	10
47	-0.952140	20.854199	112.602347	0.007376	10
48	-0.954913	20.087648	114.703109	0.007433	10
49	-0.949375	21.074409	112.013007	0.008316	10
50	-0.943435	20.307836	114.091695	0.009661	10
51	-0.949607	19.544305	116.240272	0.009019	10
52	-0.961401	20.542593	113.446963	0.009793	10
53	-0.972900	21.384987	111.192227	0.009947	10
54	-0.954967	20.750068	112.883195	0.010288	11
55	-0.958440	21.749503	110.244113	0.008972	10
56	-0.965170	22.745009	107.735286	0.009549	10
57	-0.958491	23.744393	105.328974	0.007327	10
58	-0.966610	24.734773	103.048091	0.009849	10
59	-0.955626	25.734750	100.843185	0.013957	10
60	-0.961100	26.734750	98.730611	0.009524	10
61	-0.964144	27.734750	96.704734	0.009977	10
62	-0.940561	27.087058	98.007264	0.008028	10
63	-0.948124	28.087057	96.010666	0.011833	10
64	-0.980181	27.321956	97.530841	0.010242	10
65	-0.963924	26.557587	99.098406	0.011826	10
66	-0.964008	27.557587	97.057563	0.008534	10
67	-0.951292	28.557573	95.099110	0.008354	10
68	-0.955399	27.792082	96.591103	0.008354	10
69	-0.953358	28.792029	94.651315	0.008365	10
70	-0.956259	29.784240	92.802040	0.009217	10
71	-0.973431	29.027191	94.206390	0.013005	10
72	-0.976606	30.027173	92.360222	0.008468	10
73	-0.986806	31.027173	90.584993	0.009393	10
74	-0.907443	30.356783	91.767451	0.010149	10
75	-0.956269	31.356481	90.015237	0.008089	10
76	-0.943364	30.608417	91.320008	0.011259	10
77	-0.959188	31.595858	89.605555	0.009130	10
78	-0.963556	32.595858	87.933680	0.009440	10
79	-0.949006	31.841491	89.189025	0.005639	10
80	-0.934282	31.598145	89.601660	0.010474	10
81	-0.969000	31.737054	89.365649	0.009734	10
82	-0.967274	32.737052	87.702635	0.009849	10
83	-0.967989	33.737052	86.100381	0.009122	10
84	-0.966179	34.736757	84.556069	0.005964	10
85	-0.955818	33.970099	85.735356	0.010019	10
86	-0.949419	34.874188	84.348090	0.008640	10
87	-0.952515	35.874188	82.865026	0.007782	10
88	-0.947366	36.846573	81.472087	0.011956	10
89	-0.965674	36.079247	82.567330	0.007774	10
90	-0.966833	35.311938	83.692397	0.006988	10
91	-0.957223	36.306261	82.240246	0.011365	10
92	-0.957986	35.539784	83.355130	0.011087	10
93	-0.946335	34.772458	84.501943	0.009173	10
94	-0.932888	35.772458	83.013511	0.007764	10
95	-0.986947	36.757023	81.598406	0.007796	10
96	-0.931244	37.756815	80.209948	0.007989	10
97	-0.963227	37.204933	80.970474	0.006850	10
98	-0.963237	36.437626	82.052156	0.009387	10
99	-0.976597	35.670802	83.162420	0.010888	10
100	-0.960104	34.903603	84.303709	0.009378	10
101	-0.956307	34.136276	85.476955	0.008980	10
102	-0.975558	35.136276	83.954288	0.011221	10
103	-0.971004	36.133743	82.488575	0.010620	10
104	-0.977626	35.378825	83.593105	0.008265	10
105	-0.973094	36.378077	82.137312	0.011915	10
106	-0.967326	35.610766	83.250614	0.009810	10
107	-0.978287	36.610766	81.805561	0.010711	10
108	-0.957736	37.610759	80.409828	0.008425	10
109	-0.963198	38.610759	79.060914	0.008681	10
110	-0.978396	39.591174	77.781643	0.011082	10
111	-0.983930	40.591174	76.518773	0.010264	10
112	-0.952264	41.587508	75.300666	0.010165	10
113	-0.944486	42.585953	74.118274	0.006831	10
114	-0.962204	41.842466	74.995164	0.010202	10
115	-0.976962	42.842461	73.820479	0.012203	10
116	-0.953947	43.817480	72.710032	0.008715	10
117	-1.001257	43.050153	73.581105	0.009566	10
118	-0.980343	44.050153	72.449960	0.010579	10
119	-0.971610	45.049684	71.353575	0.007736	10
120	-0.945864	44.283732	72.190742	0.009419	10
121	-0.951228	43.516488	73.049250	0.006609	10
122	-0.968807	44.514727	71.936208	0.009915	10
123	-0.952455	45.514564	70.854874	0.009209	10
124	-0.948640	44.747237	71.681811	0.006470	10
125	-0.966625	43.979913	72.528275	0.006342	10
126	-0.940059	43.406644	73.173834	0.008846	10
127	-0.941603	42.639317	74.056122	0.006450	10
