1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
126	-1.202823	36.554543	59.067547	0.002586	11
127	-1.242072	37.317668	58.294611	0.003356	11
128	-1.191919	38.317666	57.311859	0.001875	11
129	-1.188181	38.210476	57.415612	0.002105	11
130	-1.233321	38.132316	57.491503	0.001301	11
131	-1.231435	38.138848	57.485153	0.001948	11
132	-1.247065	38.040782	57.580635	0.001891	11
133	-1.220936	37.934901	57.684083	0.002089	11
134	-1.221992	38.160688	57.463932	0.002532	11
135	-1.225445	38.099093	57.523822	0.001887	11
136	-1.210463	37.995182	57.625142	0.002770	11
137	-1.244471	38.956672	56.701041	0.001653	11
138	-1.235832	39.060846	56.602694	0.001412	11
139	-1.188673	38.969834	56.688596	0.001645	11
140	-1.205212	38.868119	56.784909	0.002641	11
141	-1.211121	39.795355	55.918840	0.002236	11
142	-1.200937	39.688163	56.017608	0.001473	11
143	-1.217257	39.756420	55.954675	0.003202	11
144	-1.212843	39.707584	55.999687	0.002534	11
145	-1.209493	40.707568	55.092200	0.002584	11
146	-1.201611	41.704445	54.216343	0.003746	11
147	-1.196995	41.601312	54.305662	0.002173	11
148	-1.207590	42.009099	53.954203	0.003257	11
149	-1.206931	42.062291	53.908693	0.001801	11
150	-1.215228	42.004390	53.958235	0.003718	11
151	-1.234154	41.898406	54.049155	0.003972	11
152	-1.197949	42.826505	53.263229	0.002363	11
153	-1.229896	42.860270	53.235066	0.002536	11
154	-1.209716	43.791723	52.469753	0.004661	11
155	-1.209342	44.791480	51.672431	0.002347	11
156	-1.209407	44.684306	51.756743	0.002565	11
157	-1.242164	44.577189	51.841285	0.001108	11
158	-1.213126	44.521894	51.885035	0.002418	11
159	-1.200856	44.435254	51.953733	0.003869	11
160	-1.196487	44.328085	52.038962	0.002153	11
161	-1.237187	45.280726	51.291015	0.003391	11
162	-1.186649	45.173532	51.374101	0.003100	11
163	-1.216439	45.066921	51.457003	0.002307	11
164	-1.238886	44.962504	51.538457	0.001767	11
165	-1.237427	44.855907	51.621880	0.002875	11
166	-1.206212	45.837503	50.863745	0.002458	11
167	-1.245035	46.832921	50.117342	0.004131	11
168	-1.222387	46.725739	50.196657	0.002950	11
169	-1.232349	46.618545	50.276233	0.002349	11
170	-1.216736	46.511360	50.356055	0.003189	11
171	-1.242342	46.520072	50.349557	0.002890	11
172	-1.220206	46.708163	50.209688	0.003323	11
173	-1.235001	46.600968	50.289305	0.003386	11
174	-1.212801	47.600968	49.556235	0.002140	11
175	-1.211267	47.501597	49.628124	0.003568	11
176	-1.211539	47.394402	49.705906	0.001991	11
177	-1.224670	47.287794	49.783504	0.002409	11
178	-1.192392	47.339879	49.745562	0.003772	11
179	-1.201663	47.232754	49.823662	0.004696	11
180	-1.220647	47.125561	49.902058	0.003217	11
181	-1.228446	48.125561	49.180154	0.002177	11
182	-1.222011	49.124672	48.479452	0.003056	11
183	-1.236771	49.023364	48.549591	0.003616	11
184	-1.217199	48.916176	48.624023	0.004892	11
185	-1.210257	49.916176	47.938368	0.003331	11
186	-1.202946	49.808981	48.010939	0.003235	11
