1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.855603	0.000000	242.930337	0.020301	793
1	-0.855583	0.000000	242.930337	0.016895	11
2	-0.850599	1.000000	231.888049	0.020293	11
3	-0.834602	2.000000	221.805960	0.015425	11
4	-0.847232	3.000000	212.564045	0.014223	11
5	-0.880248	4.000000	204.061484	0.014971	10
6	-0.855467	4.825699	197.537229	0.016528	11
7	-0.867949	5.825698	190.173508	0.019053	11
8	-0.820392	4.966132	196.468887	0.016118	11
9	-0.874567	5.966126	189.183164	0.018213	10
10	-0.838893	6.966126	182.418439	0.016456	10
11	-0.842791	7.965890	176.122230	0.015728	11
12	-0.871968	8.965890	170.244806	0.019522	11
13	-0.872536	9.965889	164.746991	0.015171	11
14	-0.855397	10.965889	159.593153	0.017229	11
15	-0.864501	11.965888	154.751999	0.015194	10
16	-0.867511	12.965888	150.195899	0.020594	10
17	-0.876661	12.193113	153.692637	0.021109	11
18	-0.870481	13.193113	149.197795	0.014573	11
19	-0.878570	14.193113	144.958392	0.014329	11
20	-0.845801	15.193113	140.953255	0.016932	11
21	-0.873730	14.327075	144.408702	0.018916	11
22	-0.876666	15.286514	140.590443	0.015023	11
23	-0.876533	16.250608	136.951781	0.020684	10
24	-0.857662	17.250608	133.371400	0.013463	11
25	-0.885555	16.385211	136.458693	0.015166	11
26	-0.884662	17.385211	132.903714	0.020930	10
27	-0.876570	18.381161	129.542576	0.019190	11
28	-0.866135	17.515123	132.455428	0.013759	10
29	-0.892098	18.515099	129.103487	0.016146	10
30	-0.911655	19.515088	125.916968	0.021478	10
31	-0.878429	18.649050	128.667323	0.018105	10
32	-0.891901	19.649050	125.502001	0.018003	11
33	-0.896161	20.649050	122.488679	0.016490	11
34	-0.883274	21.648479	119.618265	0.016830	10
35	-0.903353	22.645080	116.886875	0.016305	11
36	-0.885541	23.645080	114.268740	0.018822	10
37	-0.882898	24.645080	111.765322	0.021230	11
38	-0.904008	25.645080	109.369242	0.016129	11
39	-0.894686	26.642233	107.080142	0.018169	10
40	-0.925469	27.642233	104.878761	0.015988	11
41	-0.894280	26.776194	106.779897	0.014360	11
42	-0.891713	27.776193	104.590720	0.016910	10
43	-0.889565	28.776193	102.489500	0.017434	11
44	-0.918141	29.776113	100.471201	0.015530	10
45	-0.899642	30.776112	98.530709	0.017366	11
46	-0.914359	31.775077	96.665649	0.017628	10
47	-0.898878	31.004282	98.098404	0.012988	11
48	-0.917333	32.004279	96.247646	0.015588	11
